stove_details_name,details_manu,details_web,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,stove_feed_min,stove_feed_max,stove_feed_average,stove_price_min,stove_price_max,stove_price_average,iso_co_sd_min,iso_co_sd_max,iso_co_sd_average,iso_pm_sd_min,iso_pm_sd_max,iso_pm_sd_average,iso_eff_char_sd_min,iso_eff_char_sd_max,iso_eff_char_sd_average,iwa_co_sd_min,iwa_co_sd_max,iwa_co_sd_average,iwa_pm_sd_min,iwa_pm_sd_max,iwa_pm_sd_average,iwa_co_low_sd_min,iwa_co_low_sd_max,iwa_co_low_sd_average,iwa_pm_low_sd_min,iwa_pm_low_sd_max,iwa_pm_low_sd_average,iwa_eff_sd_min,iwa_eff_sd_max,iwa_eff_sd_average
Jinqilin Stove,Shanxi Jinqilin Energy Technology Company,,0.0,,,,0.0,,,,,,nan-100.0,,45.0,,,,0,,,,,0,,,,,0,,,51.4,37.8 - 65,2,2012.0,Crop residues,2032.5,1400 - 2665,2,2012.0,Crop residues,0.5,0.3 - 0.6,2,2012.0,Crop residues,24.1,22.7 - 25.6,2,2012.0,Crop residues,13.1,12.7 - 13.4,2,2012.0,Crop residues,,,,,100.0,100.0,,,,,,,,,,37.8,65.0,51.4,1400.0,2665.0,2032.5,0.3,0.6,0.44999999999999996,22.7,25.6,24.15,12.7,13.4,13.05
DA Anandi,Development Alternatives Group (DA Group),http://www.devalt.org/,0.0,,,,,,,,,,,574.0/538.0/305.0,115.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,15.0,15 - 15,1,2007.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0
ARTI Laxmi,Appropriate Rural Technology Institute (ARTI),http://www.arti-india.org/,0.0,,,,,,,,5.0-7.0,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,18.2,12 - 24.3,2,2007.0,Wood,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,24.3,18.15
ARTI Grihalaxmi,Appropriate Rural Technology Institute (ARTI),http://www.arti-india.org/,0.0,,,,,,,,5.0-7.0,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,21.0,21 - 21,1,2007.0,Wood,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,21.0
ARTI Bhayalaxmi,Appropriate Rural Technology Institute (ARTI),http://www.arti-india.org/,0.0,,,,,,,,5.0-7.0,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,24.0,24 - 24,1,2007.0,Wood,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,24.0
Patsari Stove,"GIRA, A.C.",http://www.gira.org.mx/,0.0,,,,,15.0,Both,20.0,2.0-12.0,"tortillas, beans, chicken soup, tamales, soup, etc",80.0-130.0,1100.0/700.0/270.0,300.0,"brick, clay, sand",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,17.0,17 - 17,1,2008.0,Wood,2.0,12.0,7.0,80.0,130.0,105.0,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,17.0
Tsinghua University Stove Prototype-5,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,2.2,2.2 - 2.2,1,2017.0,Pellets,38.0,38 - 38,1,2017.0,Pellets,,,0,,,,,0,,,41.0,41 - 41,1,2017.0,Pellets,,,,,,,,,,,,,,,,2.2,2.2,2.2,38.0,38.0,38.0,,,,,,,41.0,41.0,41.0
Tsinghua University Stove Prototype-2,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,2.9,2.9 - 2.9,1,2017.0,Pellets,164.0,164 - 164,1,2017.0,Pellets,,,0,,,,,0,,,16.0,16 - 16,1,2017.0,Pellets,,,,,,,,,,,,,,,,2.9,2.9,2.9,164.0,164.0,164.0,,,,,,,16.0,16.0,16.0
Tsinghua University Stove Prototype-4,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,1.6,1.6 - 1.6,1,2017.0,Pellets,121.0,121 - 121,1,2017.0,Pellets,,,0,,,,,0,,,25.0,25 - 25,1,2017.0,Pellets,,,,,,,,,,,,,,,,1.6,1.6,1.6,121.0,121.0,121.0,,,,,,,25.0,25.0,25.0
Tsinghua University Stove Prototype-1,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,4.1,4.1 - 4.1,1,2017.0,Pellets,230.0,230 - 230,1,2017.0,Pellets,,,0,,,,,0,,,27.0,27 - 27,1,2017.0,Pellets,,,,,,,,,,,,,,,,4.1,4.1,4.1,230.0,230.0,230.0,,,,,,,27.0,27.0,27.0
Himalayan clean cook stove,Himalayan Naturals Private Limited,,,2.0,,,0.0,3.0,Round bottom,10.0,1.0-5.0,"Rice, lentils and continental veg foods",2.0-9.0,250.0/250.0/350.0,,"clay, iron and ceramics",,,0,,,,,0,,,,,0,,,86.7,86.7 - 86.7,1,2014.0,Briquettes,,,0,,,,,0,,,30.7,30.7 - 30.7,1,2014.0,Briquettes,,,0,,,1.0,5.0,3.0,2.0,9.0,5.5,,,,,,,,,,86.7,86.7,86.7,,,,,,,30.7,30.7,30.7,,,
Tsinghua University Stove Prototype-3,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,21.2,21.2 - 21.2,1,2017.0,Pellets,351.0,351 - 351,1,2017.0,Pellets,,,0,,,,,0,,,18.0,18 - 18,1,2017.0,Pellets,,,,,,,,,,,,,,,,21.2,21.2,21.2,351.0,351.0,351.0,,,,,,,18.0,18.0,18.0
CleanCook Steel One-Burner (M1),Dometic (Pty) Ltd.,http://www.dometic.com/enie/International/Site/CleanCook-Alcohol-Fueled-Stoves/CleanCook-product-range/,,4.0,,,,10.0,Both,5.0,5.0-5.0,All types cooked in a pot or frying pan,,340.0/290.0/160.0,2.6,"riveting tool, screwdriver, wrench",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prakti Double Pot Woodstove,Prakti Design,http://praktidesign.com/,,3.0,,,,5.0,Both,10.0,6.0-12.0,Any type,,50.0/23.0/30.0,8.6,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,6.0,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleanCook Steel Two-Burner (M2),Dometic (Pty) Ltd.,http://www.dometic.com/enie/International/Site/CleanCook-Alcohol-Fueled-Stoves/CleanCook-product-range/,,3.0,,,,10.0,Both,10.0,5.0-5.0,All types cooked in a pot or frying pan,,595.0/325.0/140.0,5.2,"riveting tool, screwdriver, wrench",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mwoto Quad2,Awamu Biomass Energy Ltd (ABE),http://www.awamu.ug/,,2.0,,,,1.0,Round,20.0,4.0-12.0,"Matooke (mashed bananas), beans, rice, posho (maize bread), cassava, millet bread and beef.",10.8-16.0,300.0/300.0/500.0,4.0,Chisel - Hammer - Rail/ round pipe - Pair of pliers - screw driver,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,12.0,8.0,10.8,16.0,13.4,,,,,,,,,,,,,,,,,,,,,,,,
BME/Red stove (Size 3),BM Energy,http://bm-energysaving.com/,,2.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,34.0,34 - 34,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,34.0,34.0
BME/Red stove (Size 1),BM Energy,http://bm-energysaving.com/,,2.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,34.1,34.1 - 34.1,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,34.1,34.1
Purple stove - Size 1,African Energy Stoves,,,2.0,,,,,,,,,,,3.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,26.9,26.9 - 26.9,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,26.9,26.9
BME/Red stove (Size 2),BM Energy,http://bm-energysaving.com/,,2.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,33.3,33.3 - 33.3,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,33.3,33.3
Purple stove - Size 2,African Energy Stoves,,,2.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,29.1,29.1 - 29.1,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,29.1,29.1
Purple stove - Size 3,African Energy Stoves,,,2.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,30.2,30.2 - 30.2,1,2015.0,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,30.2
Eco-Kalan-C-O (stove for the Bingka Oven),Eco-Kalan Project,http://www.eco-kalan.com,,,,,,7.0,,,,,,360.0/410.0/290.0,20.0,wood ash (sieved),,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EfCoiTa Institutional Rocket stove,Community Habitat Environmental Management (CHEMA),http://www.ingenieure-ohne-grenzen.org/de/Regionalgruppen/Berlin/Projekte/Effizientes-Kochen-in-Tansania-EfKoiTa,,,,,,,Both,150.0,15.0-30.0,Rice and Beans,250.0-350.0,500.0/500.0/1200.0,60.0,"Meal sheets, insulating bricks, welding machine",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,15.0,30.0,22.5,250.0,350.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,
KIKE Green Cook KD2,SMEFunds,http://smefunds.com/,,,,,,10.0,Both,8.0,8.0-10.0,"Rice, beans, Garri, Soup, Yam, Maize etc",29.0-37.5,515.0/275.0/100.0,2.3,A complete manufacturing line,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,8.0,10.0,9.0,29.0,37.5,33.25,,,,,,,,,,,,,,,,,,,,,,,,
Henan,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECO-KALAN-C,Eco-Kalan Project,http://www.eco-kalan.com,,,,,,7.0,Both,48.0,7.0-170.0,"rice, cornmeal, cooking bananas, root crops (potatoes, ube, gabi, cassava, bisol, etc), beans, peas (all legumes), all vegetables, fish, shellfishes, crustaceans etc, meats",11.54,406.0/356.0/283.0,17.0,"wood ash, water, bowl and a pair of hands.",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,7.0,170.0,88.5,11.54,,11.54,,,,,,,,,,,,,,,,,,,,,,,,
South Vietnam Traditional Stove,Locally manufactured,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Vietnam Rice Husk Gasifier,,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ugandan Traditional Charcoal,Locally manufactured,,,,,,,,Both,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estufa Palermo,Abastecedora Palermo,http://www.abastecedorapalermo.com/,,,,,,10.0,Flat bottom,50.0,4.0-6.0,"tortilla, boiled frijoles, eggs, meat",75.0-85.0,81.0/51.0/21.0,40.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,6.0,5.0,75.0,85.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,
EfCoiTa TLUD stove,Community Habitat Environmental Management (CHEMA),http://www.ingenieure-ohne-grenzen.org/de/Regionalgruppen/Berlin/Projekte/Effizientes-Kochen-in-Tansania-EfKoiTa,,,,,,2.0,Both,10.0,3.0-6.0,Rice and Beans,10.0-15.0,250.0/250.0/400.0,4.0,"metal sheets, rivets",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3.0,6.0,4.5,10.0,15.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,
Champion TLUD gasifier,,,,,,,,4.0,Both,,3.0-7.0,All-purpose cooking,55.0-160.0,150.0/120.0/300.0,4.7,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3.0,7.0,5.0,55.0,160.0,107.5,,,,,,,,,,,,,,,,,,,,,,,,
Quick Mami,Rural World Resources International,http://rwri.webs.com/,,,,,,10.0,Both,20.0,4.0-25.0,all,30.0-50.0,350.0/240.0/440.0,,"Sheet steel, Portland cement, sand, grog",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,25.0,14.5,30.0,50.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
Insulating Pottery Rocket Stove,PCEA Eastleigh Community Centre,http://www.pceaecc.or.ke/,,,,,,8.0,Flat bottom,,1.0-12.0,All types of regular meals,4.0-8.0,400.0/400.0/800.0,10.0,"Powders of clay and charcoal, fine grained sand.",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,12.0,6.5,4.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Grehiny Unnata Chula,Social Development Organization of Bangladesh,,,,,,,5.0,Both,3.0,3.0-8.0,"Rice, vegetables, meat, fish, water etc.",21.8-28.2,400.0/275.0/210.0,2.5,"SS Steel, MS Sheet, Fan, Battery, Regulator, Charger, Mini-Instant Power Supply (IPS), Pot-stand",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,28.4,28.4 - 28.4,1,2017.0,Pellets,3.0,8.0,5.5,21.8,28.2,25.0,,,,,,,,,,,,,,,,,,,,,,28.4,28.4,28.4
Openut,,,,,,,,,Flat bottom,40.0,3.0-8.0,Cooking,28.0-48.0,500.0/250.0/300.0,2.0,"Metallic Sheets, Plastic, galvanised pipes, soulders.",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3.0,8.0,5.5,28.0,48.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,
Firewood Stove,Emerging Health and Environment Initiative,http://www.emhei.org/,,,,,,15.0,Flat bottom,10.0,4.0-10.0,"rice, soup, legumes, noddles, spagehtti, yam, potatoes",18.0-25.0,340.0/200.0/240.0,0.6,Stainless steel,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,10.0,7.0,18.0,25.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,
Vikram Bio Super Chulha,Vikram Stoves and Fabricators,www.vikramstoves.com,,,,,,,Flat bottom,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KuniTatu - Three Stick Stove,Locally manufactured,,,,,,,2.0,Both,12.0,5.0-8.0,maize porridge - meat,11.0-13.0,400.0/280.0/260.0,21.0,"Locally made bricks that are crushed and mixed with cement, ratio 3,5 : 1 and three different moulds made of sewage pipes of different dimensions. Dividers are placed inside the mould for the combustion chamber to cast two semi-circular halves.",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,8.0,6.5,11.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
Wisdom Jiko M3,Wisdom Energy,www.wisdomenergy.co.ke,,,,,,4.0,Both,15.0,5.0-12.0,"Rice, githeri, ugali, chapati",39.0-39.0,305.0/305.0/431.0,7.5,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,12.0,8.5,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
Greenway Smart Stove,Greenway Appliances,http://www.greenwayappliances.com/,,,,,,,Both,,,,20.0-50.0,,4.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,20.0,50.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
Muspana Sabuj Chula,Filament Engineering Limited,http://https//www.muspana.com,,,,,,5.0,Both,50.0,4.0-8.0,"Rice, Vegetables, Traditional Bangladeshi Foods etc.",22.0-24.0,254.0/254.0/305.0,4.4,"Stainless Steel, Glass Wool, MS Rod",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,8.0,6.0,22.0,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
BCSIR 1 pot portable,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiko Bomba,TREE (Technologies for Renewable and Efficient Energies) Ltd,http://treetanz.com/,,,,,,3.0,Round bottom,15.0,5.0-8.0,"Stiff Poridge, Maize and Beans, Rice and Beans, Meat, Banana Stew",,,,"Metal sheets, welding rods, iron bars, hollow section 20mm, flat bars 15mm, wood for handle insulation",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,8.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tika,Green Ker,https://www.facebook.com/Green-Ker-485530741624156/,,,,,,,,,1.0-15.0,,11.0-14.0,300.0/300.0/200.0,9.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,15.0,8.0,11.0,14.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,
Tao Dam,Locally manufactured,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Stove ES4D AF,Nishant Bioenergy P Ltd,http://www.nishantbioenergy.com/,,,,,,10.0,Both,200.0,50.0-1000.0,"Boiling, Frying, Roasting heating",400.0-450.0,1400.0/500.0/500.0,110.0,"Steel, Cement, Cast Iron, Insulation etc",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,50.0,1000.0,525.0,400.0,450.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,
Awamu Institutional Stove,Awamu Biomass Energy Ltd (ABE),http://www.awamu.ug/,,,,,,,,300.0,,,,nan/800.0/1000.0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angethi portable,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,53.6,46.2 - 61.1,2,2000.0,"Charcoal,Briquettes",811.0,527.7 - 1094.3,2,2000.0,"Charcoal,Briquettes",,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,46.2,61.1,53.650000000000006,527.7,1094.3,811.0,,,,,,,,,
Chongqing,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,38.4,38.4 - 38.4,1,2007.0,Crop residues,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,38.4,38.4,38.4,,,,,,,,,,,,
CeTAmb,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eco Estufa,,,,,,,,,Flat bottom,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eco Lenka,,,,,,,,,Flat bottom,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eco Tina,,,,,,,,,Flat bottom,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecochulla Pro 1,Sanjay Techno Plast Pvt Ltd,http://www.ecosense.asia/,,,,,,5.0,Both,100.0,20.0-25.0,All Indian Food,nan-89.71,350.0/350.0/375.0,18.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,20.0,25.0,22.5,,89.71,89.71,,,,,,,,,,,,,,,,,,,,,,,,
Songa,Geni Green Solutions (GGS) Ltd.,https://genigreensolutions.com/,,,,,,,Both,15.0,5.0-15.0,,26.0-32.0,324.0/nan/344.0,12.0,"Metal, clay, and insulation",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,15.0,10.0,26.0,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,
Mbaula Green,Mbaula Concepts (Pty) Ltd.,http://www.mbaula.co.za/,,,,,,4.0,Both,6.0,4.0-25.0,"Rice, Meat, vegetables, bread",39.9-49.0,225.0/255.0/225.0,2.7,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4.0,25.0,14.5,39.9,49.0,44.45,,,,,,,,,,,,,,,,,,,,,,,,
SCODE Push-n-Pull stove,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,,,,,,6.0,Both,30.0,1.0-60.0,"Those to be boiled, fried, and baked",35.0-50.0,350.0/300.0/400.0,16.0,"G16- SS metal sheet, G18-MS metal sheet, fiber glass, flat-bar metal strips",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,60.0,30.5,35.0,50.0,42.5,,,,,,,,,,,,,,,,,,,,,,,,
Parabolic Solar Cooker 1.10m,Energía Libre,http://www.cocinasolar.net/,,,,,,15.0,Both,15.0,5.0-12.0,"beans, meat, corn, potatoes",200.0-250.0,1200.0/1200.0/1000.0,7.0,"aluminum or iron structure, high reflective aluminum material",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5.0,12.0,8.5,200.0,250.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,
Ecochulla Pro2,Sanjay Techno Plast Pvt Ltd,http://www.ecosense.asia/,,,,,,5.0,Both,150.0,45.0-50.0,All Indian Food,nan-164.46,350.0/350.0/650.0,38.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,45.0,50.0,47.5,,164.46,164.46,,,,,,,,,,,,,,,,,,,,,,,,
FabStove,Ekasi Energy,http://www.ekasi.energy,,,,,,5.0,Both,6.0,1.0-5.0,"Boiling, Stewing, Frying",60.0-80.0,280.0/280.0/320.0,4.8,Stove Kit,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,5.0,3.0,60.0,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,
SLiCK SM70,SLiCK Solar Stove,http://www.slicksolarstove.com/,,,,,,5.0,Other pot type,1.5,2.0-3.0,"Vegetables, meats, pulses",,740.0/150.0/420.0,7.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2.0,3.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecochulla Pro 3,Sanjay Techno Plast Pvt Ltd,http://www.ecosense.asia/,,,,,,5.0,Both,200.0,100.0-150.0,All Indian Food,nan-328.92,450.0/450.0/650.0,35.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,100.0,150.0,125.0,,328.92,328.92,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Mixte,Locally manufactured,,,,,,,2.0,,,,,,nan/290.0/325.0,,At least 1 mm thick metal sheet either from scrap or new material,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Cookstove (ICS),Locally manufactured,,,,,,,,Both,,,,4.25-5.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4.25,5.0,4.625,,,,,,,,,,,,,,,,,,,,,,,,
GloW yaRoketi,GloW efficiency off-grid GmbH,http://en.glow-energy.de/,,,,,,5.0,Both,25.0,1.0-10.0,"beans, potatoes, rice, noodles, matooke (plantain), yams...",35.0-90.0,300.0/300.0/325.0,3.6,"Recommended: Hammer, pliers, slotted screw driver. For Job-safety gloves",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,10.0,5.5,35.0,90.0,62.5,,,,,,,,,,,,,,,,,,,,,,,,
Luxor Stove,BriteLyt Inc,http://www.britelyt.com/,,,,,,,Both,4.0,1.0-5.0,Anything in a pot or flat pan,50.0-60.0,8.0/8.0/12.0,,Small hand tools,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,5.0,3.0,50.0,60.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CooKit,Solar Cookers International,http://solarcookers.org/,,,,,,2.0,Flat bottom,3.0,1.0-6.0,"Rice, vegetables, fruits, meats, grains, potatoes, legumes, eggs, bread, soup, stew",3.0-40.0,330.0/330.0/50.0,0.73,"cardboard, foil, adhesive",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,6.0,3.5,3.0,40.0,21.5,,,,,,,,,,,,,,,,,,,,,,,,
